,location,list_price,bedrooms,bathrooms,square_feet,description,neighborhood_description,description_vector
10,Lakefront Cottage,350000.0,2.0,1.5,1800.0,"Escape to this charming lakefront cottage with serene water views. This 2-bedroom, 1.5-bathroom retreat features a cozy fireplace, screened porch, and a dock for boating and fishing. Enjoy the peace and tranquility of lakeside living in this cozy cottage.","Located on the shores of a picturesque lake, this neighborhood offers a peaceful retreat with water activities, hiking trails, and wildlife sightings. Enjoy swimming, boating, and picnicking by the water or simply relax and unwind in the natural beauty of the lakefront. Experience lakefront living at its best in this charming cottage.","[ 0.01003756  0.00748575  0.02500905 ...  0.00491436 -0.01610708
 -0.02547895]"
11,Eco-Friendly Townhouse,400000.0,3.0,2.5,2000.0,"Live sustainably in this eco-friendly townhouse with energy-efficient features. This 3-bedroom, 2.5-bathroom home boasts solar panels, recycled materials, and a rainwater harvesting system. The modern design and eco-conscious amenities make this a green oasis in the city.","Located in a green community, this neighborhood offers eco-friendly living with bike lanes, community gardens, and LEED-certified buildings. Walk to farmers markets, yoga studios, and sustainable cafes or bike to work on dedicated paths. Embrace green living in this eco-friendly townhouse.","[ 0.00080639  0.02866286  0.0098088  ... -0.00734845 -0.02555641
 -0.03223919]"
12,Ski Chalet,600000.0,4.0,3.0,2500.0,"Hit the slopes in style with this ski chalet retreat. This 4-bedroom, 3-bathroom home features a stone fireplace, hot tub, and mountain views. Enjoy apres-ski gatherings in the cozy living room or relax on the deck with panoramic views of the ski resort.","Located near a popular ski resort, this neighborhood offers winter sports enthusiasts a dream destination for skiing, snowboarding, and snowshoeing. Enjoy the convenience of ski-in/ski-out access, cozy mountain lodges, and winter wonderland activities. Experience the thrill of ski season in this luxurious chalet.","[ 0.00494577  0.01616597 -0.00123726 ... -0.00716238 -0.02000506
 -0.03094777]"
13,Downtown Condo,500000.0,2.0,2.0,1500.0,"Live in the heart of the city in this downtown condo with modern amenities. This 2-bedroom, 2-bathroom unit features a gourmet kitchen, hardwood floors, and a private balcony with city views. Walk to shops, restaurants, and cultural attractions in this vibrant downtown neighborhood.","Located in the bustling downtown area, this neighborhood offers a lively urban lifestyle with access to theaters, galleries, and nightlife venues. Enjoy rooftop bars, street festivals, and live music events in this vibrant city center. Experience city living at its best in this downtown condo.","[ 0.00831227  0.01273162  0.01601364 ... -0.00397741 -0.020329
 -0.02231771]"
14,Country Cottage,300000.0,2.0,1.5,1200.0,"Escape to the countryside in this charming country cottage. This 2-bedroom, 1.5-bathroom retreat features a cozy fireplace, hardwood floors, and a screened porch overlooking the rolling hills. Enjoy peace and tranquility in this idyllic rural setting.","Located in a scenic countryside, this neighborhood offers a quiet and peaceful lifestyle with farms, vineyards, and country roads. Enjoy hikes in the woods, picnics in the meadows, and stargazing at night. Experience the beauty of rural living in this country cottage.","[ 0.00839603  0.01745387  0.01278869 ...  0.01532567 -0.02714758
 -0.01645465]"
15,Modern Townhome,700000.0,3.0,2.5,2200.0,"Live in style in this sleek modern townhome with designer finishes. This 3-bedroom, 2.5-bathroom home features a gourmet kitchen, open-concept living area, and a rooftop deck with city views. Enjoy urban living with luxury amenities in this contemporary townhome.","Located in a trendy urban neighborhood, this area offers a vibrant lifestyle with coffee shops, boutiques, and art galleries. Walk to parks, bike trails, and farmers markets or explore the local food scene and nightlife options. Experience modern living at its finest in this stylish townhome.","[ 0.01083588  0.01877703  0.01555922 ... -0.00213067 -0.01804042
 -0.03894973]"
16,Gated Community Mansion,3000000.0,6.0,7.0,10000.0,"Experience grandeur in this palatial mansion located in an exclusive gated community. This 6-bedroom, 7-bathroom estate features a grand foyer, formal dining room, home theater, and private pool with a cabana. Enjoy luxury living at its finest in this expansive estate.","Located in a prestigious gated community, this neighborhood offers privacy and security with upscale amenities and exclusive residents. Enjoy access to private golf courses, tennis courts, and spa services. Experience the epitome of luxury living in this gated community mansion.","[ 0.00983343  0.01785286 -0.00719726 ... -0.01305034  0.01975821
 -0.03614943]"
17,Lakefront Log Cabin,400000.0,3.0,2.0,1800.0,"Escape to this cozy lakefront log cabin with rustic charm. This 3-bedroom, 2-bathroom retreat features a stone fireplace, wood beams, and a deck overlooking the water. Enjoy fishing, boating, and relaxation in this peaceful lakeside getaway.","Located on the shores of a tranquil lake, this neighborhood offers a serene retreat with water activities, birdwatching, and nature trails. Enjoy the sound of lapping waves, stunning sunrises, and starlit nights by the water. Experience the beauty of lakefront living in this charming log cabin.","[ 0.01565393  0.00847371  0.01371369 ...  0.00591312 -0.01833331
 -0.02721619]"
18,Historic Estate,2500000.0,5.0,4.0,6000.0,"Own a piece of history in this historic estate with timeless elegance. This 5-bedroom, 4-bathroom home features original details, a grand staircase, and lush gardens. The formal dining room, library, and ballroom offer luxurious spaces for entertaining guests.","Located in a prestigious historic district, this neighborhood offers stately homes, tree-lined streets, and historic landmarks. Walk to museums, theaters, and fine dining establishments or host events in grand ballrooms and gardens. Experience the grandeur and charm of a bygone era in this historic estate.","[-0.01097804  0.01227533 -0.00290586 ... -0.00828569 -0.00034693
 -0.01694947]"
19,Mountain Retreat,500000.0,3.0,2.5,2500.0,"Escape to this secluded mountain retreat with panoramic views of the valley. This 3-bedroom, 2.5-bathroom home features a stone fireplace, cathedral ceilings, and a wrap-around deck. Enjoy hiking, wildlife watching, and peace and quiet in this mountain sanctuary.","Located in the mountains, this neighborhood offers a tranquil escape from the city with fresh air, scenic vistas, and outdoor activities. Enjoy hiking trails, mountain biking, and skiing in the winter months or simply relax and unwind in the natural beauty of the mountains. Experience mountain living at its best in this secluded retreat.","[ 0.00478806  0.0201882  -0.00301722 ...  0.01230845 -0.01673069
 -0.02874778]"
